                        _UT:Magnitud
                        e PI: BEAM-1
                     X     N: 1505  

           0.00000E+00   0.00000E+00
           2.00000E-02   1.44671E-06
           4.00002E-02   2.20072E-06
           6.00003E-02   2.31390E-06
           8.00001E-02   2.22762E-06
           1.00000E-01   1.46844E-06
           1.20000E-01   5.01352E-09
           1.40000E-01   1.40632E-06
           1.60000E-01   2.29059E-06
           1.80000E-01   2.45580E-06
           2.00000E-01   2.01303E-06
           2.20000E-01   1.07096E-06
           2.40000E-01   3.85034E-07
           2.60000E-01   1.53275E-06
           2.80000E-01   2.49603E-06
           3.00000E-01   3.21320E-06
           3.20000E-01   2.95720E-06
           3.40000E-01   1.77378E-06
           3.60000E-01   4.44336E-07
           3.80000E-01   5.07873E-07
           4.00000E-01   1.27408E-06
           4.20000E-01   2.18569E-06
           4.40000E-01   3.02105E-06
           4.60000E-01   3.13971E-06
           4.80000E-01   2.27176E-06
           5.00000E-01   9.17582E-07
           5.20000E-01   8.83059E-07
           5.40000E-01   2.44234E-06
           5.60000E-01   3.11261E-06
           5.80000E-01   2.51794E-06
           6.00000E-01   1.02798E-06
           6.20000E-01   9.15437E-07
           6.40000E-01   2.37729E-06
           6.60000E-01   2.88510E-06
           6.80000E-01   2.18249E-06
           7.00000E-01   5.84016E-07
           7.20000E-01   1.18743E-06
           7.40000E-01   2.46756E-06
           7.60000E-01   2.61241E-06
           7.80000E-01   1.64995E-06
           8.00000E-01   1.11289E-07
           8.20000E-01   1.90185E-06
           8.40000E-01   3.00019E-06
           8.60000E-01   2.97950E-06
           8.80000E-01   1.80251E-06
           9.00000E-01   2.15365E-08
           9.20000E-01   1.69716E-06
           9.40000E-01   2.58838E-06
           9.60000E-01   2.32710E-06
           9.80000E-01   1.01674E-06
           1.00000E+00   8.01710E-07
