# U(mm), F(N)
0.000000000000000000e+00,-0.000000000000000000e+00
3.749999999999999861e-02,1.216649999999999893e-03
7.499999999999999722e-02,2.466310000000000204e-03
1.125000000000000028e-01,3.751949999999999990e-03
1.499999999999999944e-01,5.076770000000000414e-03
1.875000000000000000e-01,6.444309999999999969e-03
2.250000000000000056e-01,7.858439999999999523e-03
2.625000000000000111e-01,9.323440000000000547e-03
2.999999999999999889e-01,1.084410000000000061e-02
3.375000000000000222e-01,1.242550000000000078e-02
3.750000000000000000e-01,1.407339999999999980e-02
4.124999999999999778e-01,1.579440000000000011e-02
4.500000000000000111e-01,1.759559999999999944e-02
4.874999999999999889e-01,1.948499999999999885e-02
5.250000000000000222e-01,2.147189999999999863e-02
5.625000000000000000e-01,2.356679999999999886e-02
5.999999999999999778e-01,2.578060000000000074e-02
6.374999999999999556e-01,2.812730000000000091e-02
6.750000000000000444e-01,3.062140000000000001e-02
7.125000000000000222e-01,3.328029999999999877e-02
7.500000000000000000e-01,3.612350000000000283e-02
7.874999999999999778e-01,3.917369999999999880e-02
8.249999999999999556e-01,4.245669999999999999e-02
8.625000000000000444e-01,4.600359999999999866e-02
9.000000000000000222e-01,4.984829999999999817e-02
9.375000000000000000e-01,5.403150000000000314e-02
9.749999999999999778e-01,5.860130000000000200e-02
1.012499999999999956e+00,6.360839999999999550e-02
1.050000000000000044e+00,6.911849999999999938e-02
1.087499999999999911e+00,7.520200000000000495e-02
1.125000000000000000e+00,8.194070000000000520e-02
1.162500000000000089e+00,8.942840000000000511e-02
1.199999999999999956e+00,9.776870000000000005e-02
1.237500000000000044e+00,1.070730000000000015e-01
1.274999999999999911e+00,1.174589999999999940e-01
1.312500000000000000e+00,1.290550000000000030e-01
1.350000000000000089e+00,1.419829999999999981e-01
1.387499999999999956e+00,1.563499999999999890e-01
1.425000000000000044e+00,1.722670000000000035e-01
1.462499999999999911e+00,1.898100000000000065e-01
1.500000000000000000e+00,2.090410000000000046e-01
1.537500000000000089e+00,2.299990000000000090e-01
1.574999999999999956e+00,2.527320000000000122e-01
1.612500000000000044e+00,2.772180000000000200e-01
1.649999999999999911e+00,3.034499999999999975e-01
1.687500000000000000e+00,3.314030000000000031e-01
1.725000000000000089e+00,3.610510000000000108e-01
1.762499999999999956e+00,3.923670000000000213e-01
1.800000000000000044e+00,4.253239999999999799e-01
1.837499999999999911e+00,4.599010000000000042e-01
1.875000000000000000e+00,4.960780000000000189e-01
1.912500000000000089e+00,5.338680000000000092e-01
1.949999999999999956e+00,5.732840000000000158e-01
1.987500000000000044e+00,6.142819999999999947e-01
2.024999999999999911e+00,6.568889999999999452e-01
2.062500000000000000e+00,7.010899999999999910e-01
2.100000000000000089e+00,7.469010000000000371e-01
2.137500000000000178e+00,7.943419999999999925e-01
2.174999999999999822e+00,8.434399999999999675e-01
2.212499999999999911e+00,8.942269999999999941e-01
2.250000000000000000e+00,9.467430000000000012e-01
2.287500000000000089e+00,1.001030000000000086e+00
2.325000000000000178e+00,1.057139999999999969e+00
2.362499999999999822e+00,1.115129999999999955e+00
2.399999999999999911e+00,1.175070000000000059e+00
2.437500000000000000e+00,1.237009999999999943e+00
2.475000000000000089e+00,1.301029999999999909e+00
2.512500000000000178e+00,1.367210000000000036e+00
2.549999999999999822e+00,1.435640000000000027e+00
2.587499999999999911e+00,1.506399999999999961e+00
2.625000000000000000e+00,1.579599999999999893e+00
2.662500000000000089e+00,1.655319999999999903e+00
2.700000000000000178e+00,1.733689999999999953e+00
2.737499999999999822e+00,1.814810000000000034e+00
2.774999999999999911e+00,1.898819999999999952e+00
2.812500000000000000e+00,1.985829999999999984e+00
2.850000000000000089e+00,2.075979999999999936e+00
2.887500000000000178e+00,2.169430000000000192e+00
2.924999999999999822e+00,2.266319999999999890e+00
2.962499999999999911e+00,2.366810000000000080e+00
3.000000000000000000e+00,2.471089999999999787e+00
3.037500000000000089e+00,2.579340000000000188e+00
3.075000000000000178e+00,2.691730000000000178e+00
3.112499999999999822e+00,2.808499999999999996e+00
3.149999999999999911e+00,2.929840000000000000e+00
3.187500000000000000e+00,3.055979999999999919e+00
3.225000000000000089e+00,3.187190000000000190e+00
3.262500000000000178e+00,3.323700000000000099e+00
3.299999999999999822e+00,3.465800000000000214e+00
3.337499999999999911e+00,3.613770000000000149e+00
3.375000000000000000e+00,3.767929999999999779e+00
3.412500000000000089e+00,3.928589999999999804e+00
3.450000000000000178e+00,4.096119999999999983e+00
3.487499999999999822e+00,4.270870000000000388e+00
3.524999999999999911e+00,4.453229999999999578e+00
3.562500000000000000e+00,4.643629999999999924e+00
3.600000000000000089e+00,4.842489999999999739e+00
3.637500000000000178e+00,5.050300000000000011e+00
3.674999999999999822e+00,5.267549999999999955e+00
3.712499999999999911e+00,5.494769999999999932e+00
3.750000000000000000e+00,5.732529999999999681e+00
