# U(mm), F(N)
0.000000000000000000e+00,-0.000000000000000000e+00
3.749999999999999861e-02,2.737400000000000076e-03
7.499999999999999722e-02,5.553400000000000003e-03
1.125000000000000028e-01,8.455419999999999950e-03
1.499999999999999944e-01,1.145159999999999928e-02
1.875000000000000000e-01,1.455090000000000029e-02
2.250000000000000056e-01,1.776329999999999923e-02
2.625000000000000111e-01,2.109979999999999842e-02
2.999999999999999889e-01,2.457279999999999881e-02
3.375000000000000222e-01,2.819610000000000172e-02
3.750000000000000000e-01,3.198530000000000123e-02
4.124999999999999778e-01,3.595790000000000097e-02
4.500000000000000111e-01,4.013409999999999894e-02
4.874999999999999889e-01,4.453660000000000257e-02
5.250000000000000222e-01,4.919160000000000199e-02
5.625000000000000000e-01,5.412879999999999775e-02
5.999999999999999778e-01,5.938349999999999879e-02
6.374999999999999556e-01,6.499610000000000110e-02
6.750000000000000444e-01,7.101390000000000480e-02
7.125000000000000222e-01,7.749330000000000107e-02
7.500000000000000000e-01,8.450059999999999516e-02
7.874999999999999778e-01,9.211750000000000493e-02
8.249999999999999556e-01,1.004319999999999935e-01
8.625000000000000444e-01,1.095659999999999967e-01
9.000000000000000222e-01,1.196630000000000055e-01
9.375000000000000000e-01,1.308829999999999993e-01
9.749999999999999778e-01,1.434479999999999922e-01
1.012499999999999956e+00,1.576190000000000091e-01
1.050000000000000044e+00,1.737219999999999875e-01
1.087499999999999911e+00,1.921789999999999887e-01
1.125000000000000000e+00,2.134759999999999991e-01
1.162500000000000089e+00,2.382479999999999876e-01
1.199999999999999956e+00,2.672459999999999836e-01
1.237500000000000044e+00,3.013560000000000128e-01
1.274999999999999911e+00,3.415790000000000215e-01
1.312500000000000000e+00,3.889810000000000212e-01
1.350000000000000089e+00,4.445259999999999767e-01
1.387499999999999956e+00,5.089920000000000000e-01
1.425000000000000044e+00,5.830229999999999579e-01
1.462499999999999911e+00,6.668450000000000211e-01
1.500000000000000000e+00,7.604619999999999713e-01
1.537500000000000089e+00,8.637219999999999898e-01
1.574999999999999956e+00,9.762880000000000447e-01
1.612500000000000044e+00,1.098070000000000102e+00
1.649999999999999911e+00,1.228480000000000016e+00
1.687500000000000000e+00,1.367329999999999934e+00
1.725000000000000089e+00,1.514359999999999928e+00
1.762499999999999956e+00,1.669389999999999930e+00
1.800000000000000044e+00,1.832349999999999923e+00
1.837499999999999911e+00,2.003200000000000092e+00
1.875000000000000000e+00,2.182030000000000136e+00
1.912500000000000089e+00,2.369110000000000049e+00
1.949999999999999956e+00,2.564280000000000115e+00
1.987500000000000044e+00,2.767689999999999984e+00
2.024999999999999911e+00,2.979530000000000012e+00
2.062500000000000000e+00,3.199930000000000163e+00
2.100000000000000089e+00,3.429139999999999855e+00
2.137500000000000178e+00,3.667450000000000099e+00
2.174999999999999822e+00,3.915239999999999831e+00
2.212499999999999911e+00,4.172880000000000145e+00
2.250000000000000000e+00,4.440830000000000055e+00
2.287500000000000089e+00,4.719570000000000043e+00
2.325000000000000178e+00,5.009640000000000093e+00
2.362499999999999822e+00,5.311609999999999943e+00
2.399999999999999911e+00,5.626120000000000232e+00
2.437500000000000000e+00,5.953829999999999956e+00
2.475000000000000089e+00,6.295480000000000409e+00
2.512500000000000178e+00,6.651830000000000354e+00
2.549999999999999822e+00,7.023719999999999963e+00
2.587499999999999911e+00,7.412040000000000184e+00
2.625000000000000000e+00,7.817759999999999820e+00
2.662500000000000089e+00,8.241889999999999716e+00
2.700000000000000178e+00,8.685539999999999594e+00
2.737499999999999822e+00,9.149879999999999569e+00
2.774999999999999911e+00,9.636179999999999524e+00
2.812500000000000000e+00,1.014579999999999949e+01
2.850000000000000089e+00,1.068009999999999948e+01
2.887500000000000178e+00,1.124080000000000013e+01
2.924999999999999822e+00,1.182939999999999969e+01
2.962499999999999911e+00,1.244790000000000063e+01
3.000000000000000000e+00,1.309800000000000075e+01
3.037500000000000089e+00,1.378180000000000049e+01
3.075000000000000178e+00,1.450159999999999982e+01
3.112499999999999822e+00,1.525980000000000025e+01
3.149999999999999911e+00,1.605890000000000128e+01
3.187500000000000000e+00,1.690170000000000172e+01
3.225000000000000089e+00,1.779119999999999990e+01
3.262500000000000178e+00,1.873049999999999926e+01
3.299999999999999822e+00,1.972309999999999874e+01
3.337499999999999911e+00,2.077280000000000015e+01
3.375000000000000000e+00,2.188360000000000127e+01
3.412500000000000089e+00,2.305979999999999919e+01
3.450000000000000178e+00,2.430620000000000047e+01
3.487499999999999822e+00,2.562770000000000081e+01
3.524999999999999911e+00,2.703000000000000114e+01
3.562500000000000000e+00,2.851889999999999858e+01
3.600000000000000089e+00,3.010089999999999932e+01
3.637500000000000178e+00,3.178300000000000125e+01
3.674999999999999822e+00,3.357280000000000086e+01
3.712499999999999911e+00,3.547860000000000014e+01
3.750000000000000000e+00,3.750919999999999987e+01
